probability_threshold_continue,n_stopped,n_continued,correct_stop_tn,false_stop_fn,correct_continue_tp,nonretained_continue_fp,false_stop_rate,nonretained_stop_rate,compute_saved_fraction
0.89,52,0,39,13,0,0,1.0,1.0,0.8
0.895,52,0,39,13,0,0,1.0,1.0,0.8
0.9,52,0,39,13,0,0,1.0,1.0,0.8
0.905,52,0,39,13,0,0,1.0,1.0,0.8
0.91,52,0,39,13,0,0,1.0,1.0,0.8
0.915,52,0,39,13,0,0,1.0,1.0,0.8
0.92,52,0,39,13,0,0,1.0,1.0,0.8
0.925,52,0,39,13,0,0,1.0,1.0,0.8
0.93,52,0,39,13,0,0,1.0,1.0,0.8
0.935,52,0,39,13,0,0,1.0,1.0,0.8
0.9400000000000001,52,0,39,13,0,0,1.0,1.0,0.8
0.9450000000000001,52,0,39,13,0,0,1.0,1.0,0.8
0.9500000000000001,52,0,39,13,0,0,1.0,1.0,0.8
0.9550000000000001,52,0,39,13,0,0,1.0,1.0,0.8
0.96,52,0,39,13,0,0,1.0,1.0,0.8
0.965,52,0,39,13,0,0,1.0,1.0,0.8
0.97,52,0,39,13,0,0,1.0,1.0,0.8
0.975,52,0,39,13,0,0,1.0,1.0,0.8
0.98,52,0,39,13,0,0,1.0,1.0,0.8
0.985,52,0,39,13,0,0,1.0,1.0,0.8
0.99,52,0,39,13,0,0,1.0,1.0,0.8
0.995,52,0,39,13,0,0,1.0,1.0,0.8
1.0,52,0,39,13,0,0,1.0,1.0,0.8
